Reviewed_Status,Most_Recent_Status,Source,Occupancy,Net_Yield,IRR,Selling_Reason,Seller_Retained_Broker,Final_Reviewer
Cancelled,Pending,MLS,No,3.53,18.08,Investor Sale,,Priya Sharma
Accepted Offer,Closed,M L S,Yes,8.59,19.09,,Yes,Jessica Lin
New,Pending,Internal,No,9.28,15.35,Job Transfer,Yes,Michael Chen
 , ,Auction.com,Yes,3.33,12.78,Investor Sale,Yes,Priya Sharma
Reviewed,Pending,MLS,Yes,8.7,9.98,,No,Emily Patel
Accepted Offer,Null,Opendoor,Yes,5.05,12.55,Investor Sale,No,Samantha Pierce
Closed,Always Kick,MLS,No,5.38,10.02,Investor Sale,No,David Thompson
 ,Cancelled,M L S,,11.13,12.33,,Yes,Jessica Lin
New, ,Broker,Yes,8.46,15.46,Downsizing,Yes,Jessica Lin
Null, ,M L S,No,5.14,7.97,Downsizing,No,Amit Kumar
New,Available,Broker,No,10.78,19.79,,,Samantha Pierce
Offered,Available,M L S,Yes,6.96,16.5,,No,Samantha Pierce
Null,Cancelled,Internal,Yes,6.99,18.24,Downsizing,No,Emily Patel
Reviewed,Available,M L S,,7.54,13.31,Job Transfer,No,David Thompson
Closed,Cancelled,MLS,No,11.95,15.32,Investor Sale,,Sophia Williams
 ,Pending,Broker,Yes,4.37,14.04,Investor Sale,,Emily Patel
Accepted Offer,Cancelled,Opendoor,No,8.01,10.0,Investor Sale,Yes,Amit Kumar
 ,Cancelled,Broker,Yes,6.14,17.79,Job Transfer,,Jason Miller
Closed, ,MLS,,3.0,19.11,Job Transfer,,Samantha Pierce
Offered,Pend,MLS,,3.1,13.73,Investor Sale,No,David Thompson
Closed,Pending,Bulk,No,3.46,6.13,,Yes,Sophia Williams
Offered,Cancelled,Broker,,5.77,16.06,,Yes,Jessica Lin
Null,Cancelled,MLS,,8.03,11.39,Investor Sale,,Jason Miller
Closed,Closed,Internal,Yes,9.83,19.68,,,Amit Kumar
Closed,Available,MLS,No,9.8,6.92,Downsizing,,Luis Garcia
New,Cancelled,Broker,Yes,6.41,14.33,Job Transfer,,Sophia Williams
 ,Null,Bulk,Yes,7.08,18.46,Investor Sale,,Sophia Williams
Reviewed,Cancelled,Opendoor,No,3.74,16.53,,No,Amit Kumar
Null,Close,M L S,,9.11,9.2,Investor Sale,Yes,Michael Chen
Accepted Offer,Pending,Auction.com,,10.95,7.9,,No,Luis Garcia
 ,Closed,Auction.com,No,3.68,19.49,Downsizing,,Amit Kumar
Cancelled,Pending,M L S,No,10.95,14.1,Job Transfer,No,Amit Kumar
Offered,Close,MLS,No,4.88,19.9,,No,Amit Kumar
Cancelled,Kick,M L S,,3.82,19.35,Investor Sale,No,Sophia Williams
Accepted Offer,Closed,Internal,,5.46,5.61,,No,Jason Miller
Null,Closed,M L S,Yes,8.11,12.12,Downsizing,,Jason Miller
Closed,Available,MLS,,8.56,7.98,Job Transfer,Yes,Jessica Lin
Offered,Always Kick,Bulk,No,5.52,15.74,,,Emily Patel
Null,Available,Bulk,,10.57,17.33,Downsizing,,Michael Chen
New,Close,MLS,No,9.31,10.33,Investor Sale,,David Thompson
Offered,Pending,Bulk,,7.87,9.11,Job Transfer,Yes,Jason Miller
Offered,Kick,MLS,No,7.52,12.06,Investor Sale,No,Luis Garcia
Closed,Kick,M L S,No,5.52,19.52,,Yes,David Thompson
New,Close,M L S,,7.21,14.25,Downsizing,Yes,Luis Garcia
Null,Always Kick,Auction.com,Yes,4.34,5.16,Job Transfer,,Sophia Williams
New,Pend,Broker,,5.55,13.14,Investor Sale,,Jessica Lin
Reviewed,Pend,Opendoor,No,4.36,8.82,Job Transfer,No,Amit Kumar
Cancelled,Null,MLS,,7.41,10.45,,Yes,Sophia Williams
Null,Always Kick,MLS,Yes,3.69,13.57,,,Michael Chen
Cancelled,Kick,Broker,No,9.43,12.82,Downsizing,Yes,Luis Garcia
Cancelled,Kick,Opendoor,,4.61,11.57,,,Emily Patel
Reviewed,Closed,Internal,,11.59,17.2,,,Amit Kumar
Offered,Close,Broker,Yes,6.18,5.44,Investor Sale,Yes,Priya Sharma
Accepted Offer,Cancelled,MLS,,10.61,17.99,Investor Sale,Yes,David Thompson
Null,Pend,Opendoor,,7.24,8.41,,,Sophia Williams
Reviewed,Close,MLS,,10.67,17.18,Job Transfer,,Priya Sharma
Closed,Cancelled,MLS,No,4.49,18.81,,No,Jason Miller
Null,Available,M L S,No,3.85,13.03,Job Transfer,,Priya Sharma
Offered,Null,MLS,Yes,5.3,8.92,Job Transfer,,David Thompson
 ,Always Kick,Broker,Yes,11.23,8.22,Job Transfer,No,David Thompson
New,Close,M L S,,10.01,14.66,Downsizing,No,Jason Miller
 ,Available,Auction.com,,4.72,11.38,Downsizing,Yes,David Thompson
Reviewed, ,Auction.com,Yes,9.72,12.45,Job Transfer,No,Jason Miller
New,Available,Broker,,9.72,17.76,Job Transfer,,Luis Garcia
Null, ,Internal,,3.28,13.42,,Yes,Jessica Lin
Offered,Pending,MLS,,3.75,10.55,Investor Sale,No,Luis Garcia
 ,Close,Opendoor,Yes,4.4,12.8,Investor Sale,,Amit Kumar
New,Kick,Opendoor,Yes,9.35,5.75,,,Sophia Williams
Null,Cancelled,Auction.com,No,5.25,8.18,Job Transfer,,Luis Garcia
Offered,Always Kick,MLS,No,7.73,12.84,Job Transfer,Yes,Sophia Williams
Offered,Null,Opendoor,,4.01,19.09,Job Transfer,,Luis Garcia
Cancelled,Close,MLS,No,9.06,5.34,Downsizing,Yes,Jason Miller
Offered,Closed,Broker,Yes,10.04,7.17,Downsizing,No,Emily Patel
Accepted Offer,Available,MLS,Yes,11.23,18.78,Downsizing,No,Emily Patel
Null,Null,Internal,Yes,10.14,10.37,Investor Sale,Yes,Priya Sharma
Cancelled,Always Kick,Opendoor,Yes,5.5,13.94,Downsizing,Yes,Luis Garcia
Reviewed,Pend,M L S,Yes,3.29,9.09,Job Transfer,Yes,Sophia Williams
 , ,Auction.com,Yes,3.78,10.99,Job Transfer,No,Sophia Williams
Null,Closed,Bulk,,10.55,11.89,Job Transfer,,Jessica Lin
Reviewed,Closed,M L S,Yes,7.01,13.02,Downsizing,Yes,Jessica Lin
Reviewed,Always Kick,Internal,Yes,10.8,18.36,Job Transfer,,Emily Patel
Reviewed,Pending,Auction.com,,3.84,19.48,Job Transfer,No,Jessica Lin
 ,Kick,Broker,Yes,4.87,9.87,,No,Amit Kumar
Accepted Offer,Null,Opendoor,Yes,7.28,7.01,Job Transfer,Yes,David Thompson
Accepted Offer,Close,Bulk,,8.42,7.56,,Yes,Samantha Pierce
Cancelled,Available,M L S,,9.91,10.83,Downsizing,,David Thompson
Reviewed,Pending,Broker,,3.08,6.21,Downsizing,No,Michael Chen
Cancelled,Null,Auction.com,,5.83,5.47,Downsizing,,Jason Miller
Null,Null,M L S,Yes,3.97,16.93,,No,Emily Patel
Cancelled,Cancelled,Auction.com,No,8.72,7.82,Investor Sale,Yes,Amit Kumar
New,Available,MLS,,6.55,19.28,Investor Sale,Yes,Emily Patel
New, ,Bulk,,5.46,13.64,Downsizing,Yes,Jessica Lin
Null,Close,M L S,,10.55,6.42,,Yes,Jessica Lin
Cancelled,Available,MLS,No,10.02,14.84,Downsizing,Yes,Sophia Williams
Reviewed,Pending,M L S,,8.67,5.92,Job Transfer,,Emily Patel
Null,Kick,MLS,Yes,7.67,13.0,,Yes,Priya Sharma
Accepted Offer,Cancelled,MLS,,11.57,19.78,Downsizing,,Jason Miller
 ,Kick,MLS,,9.85,5.66,,No,Amit Kumar
Reviewed,Cancelled,Bulk,,4.13,11.24,,,Michael Chen
Reviewed, ,Auction.com,No,11.53,12.93,Downsizing,No,Luis Garcia
Accepted Offer,Always Kick,Bulk,No,4.29,8.34,Downsizing,,Samantha Pierce
New,Null,Opendoor,Yes,8.74,6.49,Job Transfer,Yes,Luis Garcia
Offered,Always Kick,Auction.com,No,9.77,10.76,,,Amit Kumar
Null,Cancelled,Internal,Yes,4.32,13.59,Downsizing,,Sophia Williams
Cancelled, ,Auction.com,,5.6,7.78,Downsizing,Yes,Priya Sharma
 ,Pend,Internal,Yes,9.8,9.04,,,Amit Kumar
Cancelled,Closed,Broker,,11.75,8.5,Investor Sale,,Priya Sharma
Reviewed,Close,MLS,Yes,3.06,18.64,,No,Luis Garcia
Offered,Null,Broker,Yes,4.23,9.66,Job Transfer,,Sophia Williams
Closed,Pend,Bulk,Yes,7.46,18.49,Job Transfer,,Jason Miller
Accepted Offer, ,Bulk,Yes,9.9,9.37,Job Transfer,No,Emily Patel
Reviewed,Cancelled,MLS,No,6.37,16.61,Downsizing,No,Sophia Williams
Reviewed, ,Bulk,Yes,3.34,10.73,,No,David Thompson
Closed,Null,Bulk,,7.78,12.08,Job Transfer,,Priya Sharma
Closed, ,Bulk,No,3.79,13.82,Investor Sale,No,David Thompson
Reviewed,Pend,Opendoor,,11.67,9.92,Investor Sale,,Priya Sharma
Closed,Pend,Opendoor,No,9.63,17.8,Downsizing,,David Thompson
Cancelled,Kick,Bulk,Yes,3.91,8.08,Downsizing,,Priya Sharma
Closed,Available,M L S,No,6.66,12.91,Investor Sale,No,Amit Kumar
Cancelled,Null,Broker,Yes,10.06,12.3,,Yes,Luis Garcia
Closed, ,Broker,,4.03,9.47,,No,Luis Garcia
Accepted Offer,Null,M L S,,9.12,17.38,Investor Sale,,Luis Garcia
Offered,Pending,M L S,No,10.02,6.75,Job Transfer,Yes,Jessica Lin
Cancelled,Closed,M L S,No,7.54,13.44,,No,Sophia Williams
Closed,Cancelled,Broker,Yes,6.58,10.69,Job Transfer,Yes,Samantha Pierce
Offered,Null,Opendoor,No,4.12,8.53,Job Transfer,,Jason Miller
Closed,Null,Bulk,No,9.81,13.45,Investor Sale,No,Samantha Pierce
Reviewed,Null,MLS,No,7.85,17.39,Job Transfer,,Samantha Pierce
Offered, ,Auction.com,No,10.29,7.3,,Yes,Priya Sharma
Cancelled,Available,Opendoor,,6.91,14.83,Job Transfer,No,David Thompson
Accepted Offer,Kick,Broker,No,7.23,15.39,Downsizing,,Emily Patel
Cancelled, ,MLS,,7.2,7.74,Job Transfer,,Emily Patel
 ,Pend,M L S,Yes,6.9,13.19,,No,Emily Patel
Closed,Closed,MLS,,3.49,18.76,Downsizing,No,Luis Garcia
Offered,Pend,Bulk,No,10.78,17.59,Job Transfer,,Amit Kumar
 ,Close,M L S,Yes,9.69,8.35,,Yes,Amit Kumar
Accepted Offer,Cancelled,MLS,No,9.22,18.45,Investor Sale,Yes,Samantha Pierce
Closed, ,Bulk,Yes,7.7,9.82,Investor Sale,,Samantha Pierce
Accepted Offer,Available,Broker,No,9.17,9.21,Job Transfer,,Jessica Lin
Closed,Available,Broker,Yes,6.64,19.72,,,Priya Sharma
 ,Kick,M L S,No,8.96,19.52,Downsizing,Yes,Priya Sharma
 ,Kick,Internal,Yes,10.91,7.61,Investor Sale,Yes,Samantha Pierce
Closed,Cancelled,Internal,Yes,7.23,8.96,Downsizing,No,Priya Sharma
Null,Pend,M L S,,5.08,13.99,Investor Sale,No,Sophia Williams
Closed,Cancelled,Internal,No,10.59,8.44,Investor Sale,No,Priya Sharma
Closed,Cancelled,Broker,Yes,9.16,7.82,Downsizing,,Samantha Pierce
New,Pend,MLS,Yes,10.44,11.35,Job Transfer,Yes,Samantha Pierce
Null,Cancelled,Broker,Yes,3.41,12.71,Investor Sale,,Luis Garcia
New,Pending,MLS,Yes,6.17,6.65,Job Transfer,,Emily Patel
Offered,Null,M L S,Yes,8.14,13.04,,No,Jessica Lin
New,Null,Broker,,10.47,13.37,Downsizing,No,David Thompson
Reviewed, ,M L S,No,11.81,14.97,Job Transfer,Yes,Michael Chen
New,Null,M L S,Yes,7.28,15.92,Downsizing,Yes,Priya Sharma
Cancelled,Null,Internal,No,9.9,5.51,,Yes,Luis Garcia
 ,Kick,MLS,Yes,8.53,9.87,,,Priya Sharma
Reviewed, ,MLS,No,11.23,16.15,Downsizing,Yes,Emily Patel
Null,Pend,Auction.com,Yes,11.18,10.27,Investor Sale,Yes,Sophia Williams
Offered,Kick,MLS,No,4.1,17.35,Investor Sale,No,Jason Miller
 ,Cancelled,MLS,No,10.56,17.73,,No,Priya Sharma
Null,Pend,M L S,,9.44,11.33,Downsizing,Yes,Priya Sharma
New,Close,Broker,Yes,3.26,19.8,Investor Sale,Yes,Luis Garcia
Offered,Always Kick,Auction.com,,3.61,13.57,,No,Amit Kumar
Cancelled,Close,MLS,Yes,11.67,10.31,Downsizing,Yes,Jason Miller
Closed,Kick,Broker,Yes,3.47,13.88,Downsizing,No,David Thompson
Offered,Pend,MLS,,11.94,19.84,Investor Sale,,Jessica Lin
Null, ,Auction.com,,6.45,12.79,Downsizing,No,David Thompson
Null,Always Kick,Auction.com,Yes,11.99,14.92,,,Amit Kumar
New,Cancelled,Bulk,,11.96,18.14,,,Sophia Williams
Reviewed,Available,Bulk,,10.48,10.38,Downsizing,Yes,Luis Garcia
Offered,Pend,Broker,,6.61,11.66,Job Transfer,No,Priya Sharma
Cancelled,Kick,MLS,No,3.09,11.43,,,Sophia Williams
Accepted Offer,Available,Internal,,8.08,7.63,Job Transfer,,Jason Miller
Null,Pend,Internal,Yes,7.04,17.65,Investor Sale,Yes,Sophia Williams
 ,Available,MLS,No,8.62,17.16,Job Transfer,Yes,Emily Patel
Accepted Offer,Available,M L S,No,11.89,6.87,,Yes,Jason Miller
 ,Kick,MLS,,11.47,9.38,,Yes,Sophia Williams
 ,Available,Auction.com,No,6.61,15.95,,No,Jason Miller
Accepted Offer,Always Kick,M L S,No,4.41,7.53,Investor Sale,,David Thompson
Null,Cancelled,MLS,Yes,8.64,5.87,Downsizing,,Samantha Pierce
