Property_Title,Address,Market,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Rent_Restricted,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
"882 James Haven Apt. 909 East Shannon, LA 80727","882 James Haven Apt. 909 East Shannon, LA 80727",Dalas,1,882 James Haven Apt. 909,East Shannon,LA,80727,SFR,,0,2.73,334,,1,,,1,2013,3333,7506,Driveway,6,4,0,Split,,4,39.483769,-103.75699,Trail,3.26
"15521 Matthew Parkways South Lisahaven, AL 42154","15521 Matthew Parkways South Lisahaven, AL 42154",Tampa,0,15521 Matthew Parkways,South Lisahaven,AL,42154,Condo,0,,2.05,1553,1,1,0,0,,1988,2792,9882,,3,2,1,Colonial,0,5,41.766517,-106.712636,Heights,3.01
"913 John Brook Johnsontown, MT 09915","913 John Brook Johnsontown, MT 09915",Atlanta,,913 John Brook,Johnsontown,MT,9915,Duplex,,0,2.3,1861,0,,0,,,2009,1150,4797,Garage,2,2,0,Ranch,1,3,39.58368,-113.16085,Run,9.94
"912 Mackenzie Motorway Apt. 579 Angelaberg, ID 28760","912 Mackenzie Motorway Apt. 579 Angelaberg, ID 28760", ,,912 Mackenzie Motorway Apt. 579,Angelaberg,ID,28760,SFR,0,0,1.82,728,1,0,0,,0,2001,2467,9227,,6,3,,Ranch,1,5,41.280104,-88.199763,Avenue,7.28
"544 Eaton Mews New Ernestport, KY 39769","544 Eaton Mews New Ernestport, KY 39769",Florida,,544 Eaton Mews,New Ernestport,KY,39769,Duplex,0,1,2.71,1242,0,0,1,0,,1998,3432,9205,Garage,2,3,,Ranch,0,1,35.300247,-88.372005,Wall,3.8
"232 Walker Parks Suite 117 Jacksonmouth, UT 85930","232 Walker Parks Suite 117 Jacksonmouth, UT 85930",Dalas,,232 Walker Parks Suite 117,Jacksonmouth,UT,85930,Townhouse,,,1.55,338,1,0,1,,1,1986,3132,9054,Street,5,3,,Split,1,5,41.567751,-73.961414,Ville,9.81
"530 Dean Cliff Port Karenton, AK 43204","530 Dean Cliff Port Karenton, AK 43204",Atlanta,0,530 Dean Cliff,Port Karenton,AK,43204,Townhouse,1,,2.87,42,,,,,0,2020,2112,9970,Street,4,1,1,Colonial,1,1,34.37745,-93.99409,Plaza,9.68
"8099 Parrish Roads Suite 471 Andersonmouth, ND 01167","8099 Parrish Roads Suite 471 Andersonmouth, ND 01167",Atlanta,1,8099 Parrish Roads Suite 471,Andersonmouth,ND,1167,Townhouse,,0,2.8,1294,0,,0,1,1,1979,1887,8476,Street,5,2,1,Split,,4,36.258761,-116.758612,Fork,6.28
"19028 Darin Tunnel Suite 694 Joycemouth, CO 51642","19028 Darin Tunnel Suite 694 Joycemouth, CO 51642", ,,19028 Darin Tunnel Suite 694,Joycemouth,CO,51642,Condo,0,1,1.84,376,1,1,,1,,1957,2796,2240,Driveway,1,3,1,Ranch,1,3,34.712142,-81.468674,Crossroad,6.23
"334 Ryan Island Mckaymouth, AZ 68380","334 Ryan Island Mckaymouth, AZ 68380",Florida,0,334 Ryan Island,Mckaymouth,AZ,68380,Single Family Home,,1,2.94,911,0,,0,,,1990,3192,4409,Driveway,5,4,1,Split,,3,35.253351,-113.253814,Bridge,8.19
"64767 Alan Rapids Lake Jamesview, WY 87695","64767 Alan Rapids Lake Jamesview, WY 87695",Dallas,1,64767 Alan Rapids,Lake Jamesview,WY,87695,Condo,,0,1.57,1222,0,,,,,1951,2588,6775,Driveway,1,3,0,,,1,34.779022,-103.606583,Village,3.2
"45920 Harris Valleys Mcleanfurt, NJ 23953","45920 Harris Valleys Mcleanfurt, NJ 23953",Tampa,0,45920 Harris Valleys,Mcleanfurt,NJ,23953,Condo,0,1,2.05,248,,1,,,,1986,3250,1729,Street,2,2,0,Split,,3,39.987134,-99.958865,Haven,8.61
