Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag
30865,94126,0,0,,1,0,,0,0,0,1,0
84266,71319,,1,,,,1,,,,0,
61281,45626,0,0,0,0,0,,0,0,0,1,
5559,22563,0,0,1,0,0,1,,0,,1,1
39960,89733,,0,,,0,0,,,0,1,
92824,34064,1,1,1,,1,,1,1,1,,0
4711,22270,1,0,,1,0,0,1,1,,,1
95641,83341,0,0,1,0,,,1,0,0,0,0
14602,21300,0,0,0,,0,0,1,,,,0
55573,99293,1,1,0,0,1,1,,1,0,1,0
34358,18804,1,0,0,0,,0,1,0,1,0,0
16113,65024,,,,1,,0,0,0,,,1
69110,35810,,0,,,,,0,0,1,1,1
46200,99596,,1,0,0,0,,1,1,,0,0
83976,21067,0,,1,0,1,1,0,,0,,0
29013,12921,,1,0,,0,,,,1,1,1
10533,51139,0,1,,0,,,0,,0,1,0
48250,98841,,,0,0,1,,1,0,1,,
66870,31223,0,,1,0,1,,0,,0,,0
29464,61200,1,0,0,,0,,1,,,1,0
52668,72017,0,1,1,0,,1,1,1,1,,1
96314,50833,0,0,1,1,0,0,,0,0,,0
23860,15584,,1,,0,0,,,1,0,0,0
1473,49668,1,0,1,,0,0,,0,,,1
1223,92717,1,1,,0,,0,,0,1,0,0
5509,79193,0,1,,0,,1,1,1,0,1,0
31749,4791,1,0,1,,,,0,0,1,,0
39621,24103,0,1,1,1,0,1,0,,1,,1
44163,66402,1,0,,,0,,0,1,1,,1
32527,62604,,,0,0,,,1,1,,,0
8583,26595,0,,1,,1,0,1,1,0,0,1
18397,48937,1,0,1,,1,0,1,0,0,0,0
12947,27314,0,1,,1,0,1,,,1,,0
76849,22696,1,0,0,1,1,0,,1,1,,0
90828,27416,,1,,0,1,0,0,1,0,,0
77410,62625,0,1,0,,1,0,,,1,1,
38481,13280,0,0,,0,0,1,1,1,0,,1
59478,96046,1,1,,0,,0,0,0,,,1
78946,94625,,1,0,1,0,1,1,0,1,0,0
89117,53773,1,1,1,1,1,1,0,1,,0,1
25979,56575,0,,1,0,,,,,1,,1
30751,55799,0,,1,,0,0,1,,0,,
85468,54292,1,1,1,,0,1,0,,0,1,
46704,88706,1,1,,,,1,,0,1,,0
38024,27753,,,0,1,1,0,1,1,,0,0
24681,67162,0,,0,0,1,0,,1,1,0,0
44918,10097,1,0,0,0,1,0,1,,,,
