Previous_Rent,List_Price,Zestimate,ARV,Expected_Rent,Rent_Zestimate,Low_FMR,High_FMR,Redfin_Value
2178,289010,332344,371136,2286,2645,1765,1381,391201
1903,269833,224572,269729,2718,1801,1910,1175,426028
2129,468878,505905,434187,2264,1602,967,1916,269453
3387,454986,381967,504005,2571,3290,1941,3069,344350
1895,249437,277015,398692,1616,1578,1242,1609,433171
3466,455451,423275,369816,2988,1831,1132,2978,405485
1784,434064,311223,187311,1313,3794,869,1161,227919
913,273462,207310,386171,2524,1117,1371,1405,202847
3084,131100,510986,104521,3306,1735,1017,3440,518326
2776,335253,100037,459465,1531,1623,1696,1601,251742
1488,422384,94243,156489,3175,3680,1385,1690,282525
1977,200581,546714,524492,3479,1313,1197,2020,359606
1016,160727,200354,550046,935,2733,1418,2165,515096
1607,416059,303497,571905,2674,2356,927,2115,412712
1661,245189,248311,100053,1044,3526,1986,1792,419646
1885,132233,483398,294625,1252,1425,1347,2292,472854
1819,366615,325320,176536,1886,3603,1731,3168,538139
1818,371339,138299,445229,1231,3377,1309,2740,411825
870,411595,369743,516336,1244,3652,822,1742,241425
2436,177922,135553,130697,1666,3639,1254,1407,550083
1037,224124,508999,577207,1166,2417,1116,2554,311541
2822,98689,241998,198807,1066,1763,1547,3328,444543
3299,132770,323389,390454,2431,2255,1584,1938,388251
1341,296916,470296,425094,1166,3986,1188,2577,107969
2343,399013,167326,434410,1522,1459,1895,3011,505995
1546,391724,402355,168216,2449,3176,1393,2402,384733
815,198643,263710,423139,1472,2881,1897,2633,227383
1323,271268,448701,322438,2435,3025,1418,2760,299147
3392,282025,469536,244136,2570,3708,1598,1339,264933
2547,477238,248242,577434,1085,3650,960,1988,99198
2438,247036,431984,282864,2791,3918,815,1316,115495
3172,227308,316297,532702,2485,1894,1691,1473,238867
1950,467243,459767,271579,2628,2062,821,3155,393838
2503,358497,256135,433861,2964,1497,1112,3296,126860
897,284060,219549,542313,1554,1406,1105,3023,109096
1891,355239,504909,474734,3350,2441,1849,2001,328983
3327,396142,323896,107778,1863,3552,773,3461,210793
1255,411548,101294,548860,3342,1396,1551,2962,421144
3069,251210,227884,561311,1929,997,1426,3071,515955
2135,408031,532946,411792,1663,1394,1869,2212,326341
1428,466479,389815,590295,2035,3540,1117,1503,423603
3038,419946,396106,287824,2255,2474,1266,1786,519043
1693,193048,383414,508491,2623,1342,944,2186,568232
1137,188716,226860,398840,1546,2068,757,1759,278010
1044,247293,324963,223101,1504,2931,1204,1958,434376
2494,277373,499201,585571,2826,3092,1670,1144,184708
874,456584,284915,437860,1296,1099,1181,3442,496704
1300,231739,188994,254667,952,1235,731,2850,287167
2752,414990,158750,372119,2764,3284,1182,1430,532728
2561,479058,112900,501464,1729,1616,1593,3019,530313
1470,485612,341261,139654,1325,3683,1916,2500,356662
878,157242,309297,419105,1534,1090,1413,1231,178155
1743,446025,274809,416447,3390,3857,1838,2005,297144
1290,468704,376388,437089,2662,2798,1475,2553,397716
2814,226484,379963,596862,2554,3324,1626,1465,535464
2452,471300,298020,295768,2595,968,1152,1697,264705
1419,146026,353756,295849,1113,3275,1889,1631,258290
1561,284748,315567,561276,1508,1666,985,2570,426447
2698,494994,211846,222691,2184,2673,917,3315,334824
1244,472103,378218,295071,1485,3309,1637,2673,206525
2734,420900,381274,216274,2038,3074,1054,2350,392983
832,481062,241188,531478,1950,1388,1511,3139,139026
3438,457962,442329,492355,3017,3586,1292,1558,529295
3296,453811,512588,145731,1701,3580,1619,2407,438673
1518,228570,279839,190369,2023,3776,1863,2972,510761
1305,156824,294241,108965,1774,1470,1917,2831,195470
930,390170,399435,364167,3404,1474,1018,3219,314014
3306,173595,317205,511974,2707,1297,1162,1549,379186
1435,454738,325514,181408,1782,2154,1500,1196,254321
2371,203207,252223,306793,1942,1635,991,2794,374400
2294,157417,366833,501596,3426,3382,1913,1644,408900
1582,105966,333899,564128,2949,1998,961,1587,339659
3365,282287,265598,398335,1551,1525,767,2421,133671
2188,134990,500307,142305,1048,2626,1912,1826,341294
3241,248205,199360,301650,1830,1155,702,2208,279912
1559,321878,261050,389714,3132,1001,1195,2542,438301
2946,354991,214346,242714,1573,1336,961,2281,152084
2187,228556,114847,168097,3450,2198,1020,2145,361480
1051,222977,381291,136013,1222,1252,1547,2328,241821
1201,351730,526563,382790,3452,1139,1735,3166,183498
1021,491529,157925,235319,972,2558,1640,3061,475067
2815,159443,122454,457534,1039,3370,949,2027,324725
1192,191746,464801,413066,2023,3006,1609,2246,532753
3012,186978,414156,396617,1252,1953,1764,3361,245075
2821,141750,224731,446275,1699,2061,1497,2896,344759
2015,156524,443649,457195,1550,1599,1221,2769,224233
2499,256208,126983,525235,2268,2631,1520,1355,586989
2084,112718,93302,174974,1146,2041,1488,2770,553517
1866,206026,456975,112685,2749,3509,1058,3335,151802
2263,439731,250682,596826,2786,1788,1928,1617,398883
887,320459,110317,189616,1625,3758,1304,1120,453074
1344,249286,315241,412868,3333,1560,1551,2017,403228
1322,222654,425670,406659,2913,3024,1120,3367,309498
2984,497461,202123,354056,1435,1682,874,1201,548535
2558,364732,488223,303410,3316,3804,1637,1310,223420
2027,309319,202273,260649,2795,2494,1568,3354,517326
1762,483895,205239,252539,2343,2290,876,2861,476532
1083,452245,173802,386474,1982,2704,1330,3114,555711
1301,342668,276045,281674,3336,1999,1270,1521,486646
2588,297370,456011,160828,3042,3257,1353,2739,500913
3445,390928,416653,198366,1971,3092,1529,2440,502344
3013,326789,298400,375567,2183,2419,832,2518,421400
1069,364312,471134,324512,2477,1160,902,2106,405365
1055,301680,438601,471798,1548,2322,1563,2972,550552
2374,190588,103659,338050,2631,3006,785,2301,508703
2124,101829,501890,323077,1784,988,1813,3189,596249
1293,107555,506406,388167,1550,3165,1898,3290,426541
1810,447060,356439,541420,2965,1931,961,1494,257398
3359,110989,91737,429053,2404,2033,1256,3254,330169
1195,396907,342296,460487,996,1372,1484,2023,276580
1442,159655,424488,348826,1397,2145,1758,1814,187808
1831,283950,191386,526208,2249,1834,1714,1725,194615
1140,244404,426175,251923,1740,1819,1278,1350,242743
2680,154200,413979,375958,2748,2054,1830,1971,415291
1706,487674,216689,531772,3486,2626,1661,3324,441284
1290,275476,495843,101415,3309,2444,862,2899,127829
2106,320135,252862,281947,1272,1650,738,3144,597098
3124,347046,198197,369926,2645,931,1777,1433,570979
2119,235003,238918,495504,1185,1278,1370,2084,341240
1644,281923,136618,273151,2279,2980,1119,2498,103043
3386,229112,481678,303215,2456,3946,1560,2715,367086
3178,387349,351369,416514,1672,2157,1952,1524,378436
2866,361748,501493,393785,2614,1817,904,2700,238118
905,417788,492731,574113,2763,1626,1177,3152,343065
955,114525,283523,247058,2766,1647,1954,3281,425062
2837,388450,178329,508060,1954,3935,1107,2185,163443
2493,256017,206373,106964,1131,3849,1336,2268,531837
819,344306,419335,538623,2347,1745,1338,3039,127737
2200,137722,159321,155270,1270,1505,1550,3457,285837
2394,326887,395695,567164,2436,2800,1939,1864,171128
2481,248761,278063,592832,2227,2550,1792,2439,155931
837,272199,515394,257009,3014,2944,1000,1893,311994
1457,460241,475029,437870,1317,1722,1725,3102,161546
3316,454695,121641,466211,1206,2386,1274,2592,141710
873,401194,410092,124239,2338,2956,1553,1953,266955
3432,326850,540869,104291,1493,2349,1891,1664,451385
3197,96812,262433,554935,2799,1449,726,1537,343151
2095,135845,378383,357999,1903,2160,809,3308,234305
2430,337809,182961,519875,1440,3583,1769,3279,153341
2214,468909,387450,557094,2052,2322,1443,1614,230915
1877,221799,174847,276706,950,3164,1275,1205,546703
2060,262499,127846,171044,2339,1430,1327,3282,183498
842,208948,241152,174640,3054,1197,1188,1797,314578
2311,357407,435813,299424,1717,3482,1349,1575,476955
2804,322985,512630,529461,2809,3658,1615,3368,413424
1263,424429,461778,387423,2752,3419,1844,2586,535308
2969,471367,433521,339991,2143,2017,1159,1212,429038
898,375749,417441,511265,998,3847,1671,2116,503972
1267,424343,531503,128310,2443,2252,1295,1388,494794
3466,198777,378009,480927,2347,3593,1268,1512,427104
2245,251894,180266,284201,1280,1110,1915,3425,544659
3061,294457,173916,405231,2759,1531,1752,2885,572997
2804,208051,114565,108164,1159,1414,1578,2896,564448
3252,289233,386788,322035,2880,3628,1735,1406,333841
3464,392933,415192,100357,952,2773,1107,1518,172323
1501,497851,315736,536304,2945,3925,1856,3209,205011
1475,335037,392845,543723,1498,3545,1618,3309,281251
2206,398371,115857,444873,2805,3040,1609,2325,307639
3448,457158,227433,443147,3412,3475,1523,1284,528740
3406,150490,283404,302147,2617,1780,1714,3022,540701
1876,310445,140493,536783,2070,1837,1295,3009,92046
3271,252560,268193,415400,1994,1267,767,2494,293928
3481,390078,464124,104817,1415,2671,711,2602,156975
1773,364617,530153,125923,1822,2213,889,3269,101787
1395,226466,219122,598716,2867,3248,836,1653,327171
1636,209259,512080,115881,976,2528,1859,1334,428402
3268,326328,489798,328680,2852,2770,747,1427,488050
1486,128565,152911,181518,3111,3283,1025,2793,496229
1849,397431,375979,294004,1764,3337,792,1237,386715
1942,341332,284329,93013,908,1482,1508,1330,450105
3174,331757,487709,555820,2227,3559,858,1899,446203
3003,271654,215948,287194,2803,3448,1954,1368,325679
1380,208588,264909,587154,901,1296,1192,3302,511374
3459,443175,444833,568446,3457,3887,763,1732,268075
2204,156807,438714,312075,1555,3331,1808,1926,309604
1099,389060,493609,482080,2349,2514,1685,1616,535682
923,290083,364614,254766,3120,1391,1292,2181,451201
2134,493951,179800,333168,3291,1854,1341,2835,359445
2185,333413,511691,365034,2961,1607,1140,2755,224892
1034,435015,264870,217135,3039,3247,1233,1414,380906
1548,439097,511076,440470,2975,1350,1466,2780,552273
1278,360822,202027,402876,1316,2407,959,3227,97611
3382,95477,347043,230296,2913,2079,1422,3319,182703
902,232008,338436,448230,3237,2815,1677,1629,164406
2695,193555,508423,386235,1566,3797,967,1132,522513
2482,181482,103689,589295,2386,1119,1885,2964,411677
2362,493015,238753,409039,2613,1690,1653,3322,447826
1145,383800,93201,239352,2134,973,1711,3179,417308
3410,326502,259594,165707,2887,3072,1551,2169,514766
1489,139051,224939,473219,2451,2640,1434,2576,364440
3472,334973,248010,356337,1349,2466,1914,2667,259161
937,366303,281827,487784,1233,2281,1773,2558,500814
3218,368465,151094,214404,1183,2281,864,2521,124351
2462,353388,372208,447749,2550,1997,1515,2364,188763
1664,460595,250965,106362,1903,3751,1347,2351,134550
1589,123246,143188,152539,2456,1616,1392,3477,101066
3222,242255,442127,198963,986,2613,1888,2522,152795
1512,391572,494349,460679,1113,3113,1473,1827,596491
3146,159036,263876,399342,1123,3201,965,3465,109447
1815,135747,241987,213545,3380,3150,1214,2895,109831
1886,193451,501060,174418,2280,3658,1448,1605,337625
1426,136992,494716,470276,2314,1164,1535,2158,489077
2472,373967,219498,401729,2048,2818,796,1896,552784
2307,194269,517768,113716,2446,1680,757,3416,176325
2867,200071,407043,374480,2098,3881,1742,2416,94808
1384,236445,186247,352974,3039,1477,1491,3331,474944
2346,125631,280148,366220,1395,2783,1568,2863,299427
3348,482746,196287,487846,1359,3819,1238,2871,383064
1589,149914,112524,167969,1129,3215,1121,3054,425267
2619,403564,536416,100188,1344,3272,1704,1425,343139
3399,198897,263517,184296,2308,2989,1761,1288,476981
1459,345609,330933,572144,2774,1001,886,1198,567068
3265,96214,112928,444809,1756,2797,1590,1682,589567
830,480061,211373,247003,1751,2718,1509,1544,126342
3084,241079,392204,331603,1492,2054,1139,2638,413082
1950,321902,269326,533563,2733,3309,1871,2902,217360
1045,309136,261987,349618,968,2799,733,2655,498100
